title,price,rating,review
God Of War Ragnarok | Launch Edition | PS5 Game (PlayStation 5),"4,999.",4.5 out of 5 stars,82 ratings
Call Of Duty : Modern Warfare II | Standard Edition | PlayStation 5 (PS5),"4,999.",3.9 out of 5 stars,7 ratings
Sony DualSense Wireless Controller for PlayStation 5 (White),"5,098.",4.5 out of 5 stars,"2,301 ratings"
PS5 God of War: Ragnarok Collector's Edition,"13,499.",4.1 out of 5 stars,4 ratings
PS5 Grand Theft Auto V,"2,213.",4.4 out of 5 stars,98 ratings
Horizon Forbidden West | Standard Edition | PS5 Game (PlayStation 5),"2,684.",4.7 out of 5 stars,603 ratings
PS5 WWE 2K22,"2,299.",4.2 out of 5 stars,51 ratings
FIFA 23 | Standard Edition | PS5 (PlayStation 5),"4,110.",4.6 out of 5 stars,38 ratings
Cricket 22 | International Edition | PS5 (PlayStation 5),"2,176.",3.9 out of 5 stars,92 ratings
Sony Marvel's Spider-Man: Miles Morales (PS5),"2,268.",4.5 out of 5 stars,"2,609 ratings"
WALLTON PS5 Skin Protective Wrap Cover Vinyl Sticker Decals for PlayStation 5 Disk Version Console and Two Dual Sense 5 Sticker Skins Black PS5 Skin - Spider - Man Red,899.,3.5 out of 5 stars,3 ratings
WALLTON PS5 Skin Protective Wrap Cover Vinyl Sticker Decals for PlayStation 5 Disk Version Console and Two Dual Sense 5 Sticker Skins Black PS5 Skin - Bomb Sticker,699.,5.0 out of 5 stars,1 rating
Gran Turismo 7 | Standard Edition | PS5 Game (PlayStation 5),"2,697.",4.1 out of 5 stars,120 ratings
"New World Storage Bag for PS5 , Travel Bag for PS5 , Carrying Case Briefcase Type for PS5,Waterproof Shoulder Bag for Playstation 5 with Both Side Storage Compartment-Black","2,624.",4.4 out of 5 stars,45 ratings
Unchartered: Legacy of Thieves Collection | PS5 Game (PlayStation 5),"1,499.",4.3 out of 5 stars,149 ratings
PS5 Mortal Kombat 11: Ultimate,"1,599.",4.4 out of 5 stars,82 ratings
"New World For PS5 Vertical Stand for PS5 Digital Edition and Disc Edition Console with Cooling Fan, Controller Charging Station and 15 Game Cards Slots and Headset Stand For PS5 Cooling Controller Charging Stand","2,399.",3.7 out of 5 stars,35 ratings
DualSense™ charging station - (PlayStation®5),"2,499.",4.7 out of 5 stars,296 ratings
